Gene,adj.P.Val,P.Value,t,B,logFC
GAS1,0.961,0.390938,0.8749763,-4.8,0.0822598
SOCS2,0.961,0.391024,0.8748139,-4.8,0.12228498
ZSCAN12,0.961,0.391116,-0.8746415,-4.8,-0.05469651
FTSJ1,0.961,0.391149,-0.8745796,-4.8,-0.12814317
PDE9A,0.961,0.391153,0.8745722,-4.8,0.10611663
STK10,0.961,0.391181,-0.8745187,-4.8,-0.07925444
CYTH4,0.961,0.391186,0.8745105,-4.8,0.08678236
SLC17A3,0.961,0.391232,-0.8744233,-4.8,-0.08077178
SERP1,0.961,0.391261,0.8743691,-4.8,0.08141899
WSB1,0.961,0.391422,-0.8740668,-4.8,-0.1770813
ITGB3,0.961,0.391428,-0.8740562,-4.8,-0.14316301
OXA1L,0.961,0.391526,-0.8738709,-4.8,-0.11265578
CDT1,0.961,0.391544,0.8738385,-4.8,0.10008011
COG2,0.961,0.391547,-0.8738328,-4.8,-0.11907172
SPAST,0.961,0.391562,-0.8738051,-4.8,-0.11921692
PRDM5,0.961,0.391564,0.8738009,-4.8,0.07213893
SRSF11,0.961,0.391589,-0.8737536,-4.8,-0.10421219
NDUFS3,0.961,0.391819,0.8733213,-4.8,0.10489979
FLG,0.961,0.391886,0.8731974,-4.8,0.04356506
SQSTM1,0.961,0.391911,-0.8731491,-4.8,-0.0588335
NPIPA5///NPIPB5///LOC613037///NPIPB4///NPIPB3,0.961,0.391922,-0.873129,-4.8,-0.10232186
MSTO2P///MSTO1,0.961,0.391953,-0.8730715,-4.8,-0.06173758
ZNF273,0.961,0.391961,-0.8730551,-4.8,-0.08145061
,0.961,0.392008,0.8729671,-4.8,0.09417272
ARMC9,0.961,0.3921,0.8727946,-4.8,0.04334378
MUT,0.961,0.392139,-0.8727231,-4.8,-0.0965487
,0.961,0.39216,0.8726829,-4.8,0.16279979
GZMM,0.961,0.392211,0.8725876,-4.8,0.11037273
PPIA,0.961,0.392338,0.8723499,-4.8,0.12384586
IGFBP3,0.961,0.39239,0.8722512,-4.8,0.14118962
KRT24,0.961,0.392397,0.8722383,-4.8,0.0665175
LOC101928361///ARHGAP15,0.961,0.392403,-0.8722269,-4.8,-0.09983263
ARPC4-TTLL3///TTLL3///ARPC4,0.961,0.392416,0.8722028,-4.8,0.0865344
ZNF35,0.961,0.392478,0.8720864,-4.8,0.06505437
C16orf58,0.961,0.392518,0.8720113,-4.8,0.06879225
,0.961,0.392565,-0.8719238,-4.8,-0.11770625
GGCT,0.961,0.392594,0.8718696,-4.8,0.05794606
TTC38,0.961,0.392644,0.8717764,-4.8,0.08547277
RALYL,0.961,0.39271,0.8716529,-4.81,0.06060801
ELANE,0.961,0.392752,-0.8715736,-4.81,-0.24650636
KDM2A,0.961,0.39278,-0.8715211,-4.81,-0.08909006
IDH2,0.961,0.392805,-0.8714748,-4.81,-0.07506585
RACGAP1,0.961,0.392858,-0.8713755,-4.81,-0.1358048
PSG6,0.961,0.392867,-0.8713585,-4.81,-0.05325909
PTGS1,0.961,0.392904,-0.8712887,-4.81,-0.08513288
ERP44,0.961,0.39295,-0.8712037,-4.81,-0.08046021
MUC5B,0.961,0.392993,-0.8711226,-4.81,-0.08009038
OPRPN,0.961,0.392999,0.871112,-4.81,0.06068158
HERC4,0.961,0.393008,0.871095,-4.81,0.09143724
SMARCD1,0.961,0.393078,-0.8709629,-4.81,-0.0884233
VAMP1,0.961,0.393249,-0.8706443,-4.81,-0.09864812
ARHGEF9,0.961,0.393252,-0.8706373,-4.81,-0.0875628
CHRNA1,0.961,0.393254,0.8706335,-4.81,0.0610662
FANCI,0.961,0.393292,0.8705637,-4.81,0.08549075
GPA33,0.961,0.393314,-0.870521,-4.81,-0.09756484
NACA2,0.961,0.393353,0.8704485,-4.81,0.05983036
CSF2,0.961,0.393433,0.8702996,-4.81,0.05608487
FTSJ3,0.961,0.393442,-0.8702833,-4.81,-0.07873263
WIPF1,0.961,0.393443,-0.87028,-4.81,-0.07518539
GUSBP11,0.961,0.39351,0.8701553,-4.81,0.08340406
RUFY3,0.961,0.393643,-0.8699069,-4.81,-0.06581903
LOC101930531///LOC101930278///FRG1CP///FRG1,0.961,0.393722,0.8697596,-4.81,0.12720032
DCAF7,0.961,0.393776,-0.8696583,-4.81,-0.0792964
PARD6A,0.961,0.393778,0.8696541,-4.81,0.07647491
IDS,0.961,0.393799,0.8696144,-4.81,0.08897333
FCN2,0.961,0.393857,0.8695055,-4.81,0.06310697
CSNK1D,0.961,0.393909,0.8694096,-4.81,0.11253619
SRR,0.961,0.394053,-0.8691404,-4.81,-0.08338747
GALNT3,0.961,0.394089,0.8690726,-4.81,0.15119181
ATP2C1,0.961,0.394149,-0.8689607,-4.81,-0.12291126
CEMIP,0.961,0.394181,-0.8689013,-4.81,-0.07311978
ENSA,0.961,0.394206,0.8688549,-4.81,0.05535226
ENOSF1,0.961,0.394214,-0.8688389,-4.81,-0.12092295
COL4A1,0.961,0.394307,0.8686658,-4.81,0.07029405
SLC13A1,0.961,0.394317,0.8686474,-4.81,0.04661462
NDC80,0.961,0.394323,0.8686359,-4.81,0.07301974
ALOXE3,0.961,0.394341,0.8686018,-4.81,0.06863742
GUSBP3///SMA5///SMA4,0.961,0.394394,-0.8685036,-4.81,-0.22881217
,0.961,0.394409,-0.8684745,-4.81,-0.05955181
LONRF1,0.961,0.394438,-0.8684218,-4.81,-0.11016893
EXOSC10,0.961,0.394526,-0.8682564,-4.81,-0.1379427
UTP14A,0.961,0.394591,-0.868135,-4.81,-0.08959494
TRAC,0.961,0.39468,-0.8679694,-4.81,-0.13876248
OS9,0.961,0.39471,0.8679129,-4.81,0.07166672
CD200,0.961,0.394724,-0.8678873,-4.81,-0.17080278
ARHGAP22,0.961,0.394768,0.8678053,-4.81,0.08549919
ITSN1,0.961,0.394783,0.8677772,-4.81,0.06134324
,0.961,0.394805,0.867736,-4.81,0.0794765
SMAD2,0.961,0.394828,-0.8676931,-4.81,-0.0812222
ZNF83,0.961,0.394871,-0.8676128,-4.81,-0.15914922
ICAM2,0.961,0.394918,0.8675242,-4.81,0.13583002
CDH17,0.961,0.39497,0.8674282,-4.81,0.05396924
KLHL7,0.961,0.394983,0.8674046,-4.81,0.09322739
SPAG9,0.961,0.395066,-0.8672486,-4.81,-0.09459066
CTSV,0.961,0.395106,0.8671738,-4.81,0.08297696
MOK,0.961,0.395148,0.8670959,-4.81,0.08387609
LRRFIP1,0.961,0.39518,-0.8670355,-4.81,-0.0884481
,0.961,0.395188,0.8670206,-4.81,0.08615923
RFPL1S,0.961,0.395202,-0.866996,-4.81,-0.0533006
TMED7-TICAM2///TMED7,0.961,0.395226,-0.8669509,-4.81,-0.16065993
DNAJB5,0.961,0.395262,0.8668841,-4.81,0.07365494
LPP,0.961,0.39531,-0.8667931,-4.81,-0.060747
GK,0.961,0.395313,0.8667891,-4.81,0.14895239
FGF20,0.961,0.395359,0.8667017,-4.81,0.0670928
SLC1A2,0.961,0.395365,0.8666921,-4.81,0.05689993
NCBP2,0.961,0.395371,-0.8666795,-4.81,-0.12319455
MYL12B///MYL12A,0.961,0.395404,0.8666193,-4.81,0.06558456
NRP2,0.961,0.395413,0.8666021,-4.81,0.06963768
SSR1,0.961,0.395475,-0.8664868,-4.81,-0.10357094
,0.961,0.39555,0.8663472,-4.81,0.09494226
SCAI,0.961,0.395578,-0.8662942,-4.81,-0.10595133
RRS1,0.961,0.395578,-0.8662937,-4.81,-0.07856994
SOAT2,0.961,0.39558,0.8662903,-4.81,0.07885165
ZDHHC3,0.961,0.395651,0.8661572,-4.81,0.05833831
ALAD,0.961,0.395659,-0.8661424,-4.81,-0.07652359
,0.961,0.395667,-0.8661285,-4.81,-0.07274346
SPATA6,0.961,0.395698,-0.8660706,-4.81,-0.07887144
RITA1,0.961,0.395749,0.8659761,-4.81,0.06754174
MT1E,0.961,0.395784,-0.8659099,-4.81,-0.07429528
KPNB1,0.961,0.395792,-0.8658954,-4.81,-0.08108506
CSTA,0.961,0.395851,0.8657864,-4.81,0.29926572
PITX1,0.961,0.395905,0.865685,-4.81,0.06862729
B3GNTL1,0.961,0.395994,0.8655184,-4.81,0.08240075
CA10,0.961,0.396011,0.8654869,-4.81,0.05565577
DNAH9,0.961,0.396039,0.8654349,-4.81,0.08429031
MLH1,0.961,0.396101,-0.8653192,-4.81,-0.08461165
ADAM12,0.961,0.396178,0.8651766,-4.81,0.0522047
APOBR,0.961,0.39618,-0.8651724,-4.81,-0.09633522
MIR3654///EEF1G,0.961,0.396364,0.8648305,-4.81,0.10607739
MID2,0.961,0.396369,-0.8648214,-4.81,-0.06033049
GRIN1,0.961,0.3964,0.8647637,-4.81,0.10085602
CCKAR,0.961,0.396428,0.8647103,-4.81,0.05747752
TOX3,0.961,0.396625,0.8643451,-4.81,0.0538362
RAB8B,0.961,0.396629,-0.8643379,-4.81,-0.14508977
,0.961,0.396715,0.8641776,-4.81,0.06848817
GUSBP11,0.961,0.396739,0.8641324,-4.81,0.09774103
,0.961,0.396741,0.8641294,-4.81,0.06594157
SULF1,0.961,0.396764,0.8640865,-4.81,0.04911854
,0.961,0.396844,-0.8639373,-4.81,-0.19395194
PPOX,0.961,0.396886,0.8638592,-4.81,0.06591253
MPDU1,0.961,0.396897,0.8638384,-4.81,0.07390442
TMEM47,0.961,0.396939,0.8637603,-4.81,0.04211681
PLA2G1B,0.961,0.397086,-0.8634869,-4.81,-0.04745231
HSD17B3,0.961,0.397086,0.8634862,-4.81,0.06715698
ZNF484,0.961,0.397156,0.8633573,-4.81,0.04478488
PDLIM4,0.962,0.397217,0.8632435,-4.81,0.08024297
TRAPPC10,0.962,0.39733,-0.8630331,-4.81,-0.10456996
AVL9,0.962,0.397395,-0.8629122,-4.81,-0.09891219
BNIP3,0.962,0.397469,-0.8627751,-4.81,-0.15451427
LOC100506504,0.962,0.397571,0.8625855,-4.81,0.06607428
PSIP1,0.962,0.397614,-0.8625055,-4.81,-0.13102827
IGLL5///IGLJ3///IGLV3-19,0.962,0.397626,0.8624836,-4.81,0.06374116
SERPINB4,0.962,0.397649,0.8624398,-4.81,0.04860835
DUSP10,0.962,0.397693,0.8623597,-4.81,0.06853719
PLXNA1,0.962,0.397697,0.8623523,-4.81,0.08372049
YRDC,0.962,0.39773,0.8622894,-4.81,0.0711576
MSRB2,0.962,0.397861,-0.8620462,-4.81,-0.06774311
PCOLCE,0.962,0.397909,0.8619575,-4.81,0.08608723
PPM1E,0.962,0.397921,0.8619351,-4.81,0.06934953
AGA,0.962,0.39799,-0.8618072,-4.81,-0.13403997
TGM2,0.962,0.39801,0.8617693,-4.81,0.08523531
KCNA2,0.962,0.398023,0.8617459,-4.81,0.058394
MAP7D3,0.962,0.398145,-0.8615196,-4.81,-0.06397696
NR4A1,0.962,0.398148,0.8615137,-4.81,0.06599689
NEU3,0.962,0.398164,0.8614841,-4.81,0.08815656
ACSM3,0.962,0.398227,0.8613678,-4.81,0.05071602
PTPN6,0.962,0.398258,0.8613098,-4.81,0.08606634
CCL18,0.962,0.398298,0.8612348,-4.81,0.05669112
RPS16,0.962,0.398388,0.8610685,-4.81,0.10003901
DNAH6,0.962,0.398425,0.861,-4.81,0.07767878
ESR1,0.962,0.398516,0.8608303,-4.81,0.07576497
FOXE1,0.962,0.39856,0.8607496,-4.81,0.0765512
FGFR2,0.962,0.398629,0.860621,-4.81,0.08222399
ADRA1B,0.962,0.398657,0.860569,-4.81,0.08964725
KRT84,0.962,0.398681,-0.8605252,-4.81,-0.04645376
IL5,0.962,0.398841,0.8602285,-4.81,0.06883771
C15orf38-AP3S2///AP3S2,0.962,0.398921,0.8600796,-4.81,0.08204336
IL1RAP,0.962,0.399124,-0.8597043,-4.81,-0.12038705
LSG1,0.962,0.399124,-0.8597042,-4.81,-0.12514706
MYOZ3,0.962,0.399199,0.8595641,-4.81,0.07083068
CRABP1,0.962,0.399227,0.8595131,-4.81,0.05014887
PMS2P3,0.962,0.399277,-0.859421,-4.81,-0.08418126
EDF1,0.962,0.399405,0.8591825,-4.81,0.1053278
PTRF,0.962,0.399437,0.8591243,-4.81,0.08245373
FAM86DP///FAM86B2///FAM86FP///FAM86B1///FAM86C1,0.962,0.399457,-0.8590878,-4.81,-0.08834081
MUC3B,0.962,0.39949,0.8590267,-4.81,0.09843221
SHANK2,0.962,0.399565,0.8588861,-4.81,0.06755238
FGFR3,0.962,0.399593,0.8588359,-4.81,0.07726297
LOC100506248///MIR1244-2///MIR1244-3///MIR1244-1///LOC728026///PTMA,0.962,0.399612,0.8588008,-4.81,0.09890204
KCNIP2,0.962,0.399633,0.8587607,-4.81,0.09256678
,0.962,0.399709,0.8586203,-4.81,0.06202946
SMR3A///SMR3B,0.962,0.399711,0.8586166,-4.81,0.07649317
NODAL,0.962,0.399763,-0.8585196,-4.81,-0.06805458
PHF8,0.962,0.399793,0.8584648,-4.81,0.05460629
PIGA,0.962,0.399836,-0.8583851,-4.81,-0.08954253
,0.962,0.399855,0.8583493,-4.81,0.06790195
CD55,0.962,0.399926,0.858219,-4.81,0.1389081
,0.962,0.399942,-0.8581894,-4.81,-0.07232709
INTS1,0.962,0.399992,0.8580965,-4.81,0.08591337
PRAMEF2///PRAMEF1,0.962,0.400037,0.8580125,-4.81,0.08591132
SAFB,0.962,0.400057,0.857976,-4.81,0.08199449
HAGH,0.962,0.400125,0.8578503,-4.81,0.12330875
MUC8,0.962,0.400187,-0.8577355,-4.81,-0.11237612
SRSF3,0.962,0.400206,-0.8577012,-4.81,-0.10721159
KDM1A,0.962,0.400252,0.8576146,-4.81,0.044981
SP140L,0.962,0.400376,-0.8573862,-4.81,-0.10050206
TAPBP,0.962,0.400518,-0.8571236,-4.81,-0.10078506
S1PR5,0.962,0.40052,-0.8571203,-4.81,-0.08394928
MB,0.962,0.400587,0.856995,-4.81,0.08113918
NR2F6,0.962,0.400612,0.8569504,-4.81,0.09930553
TEX14,0.962,0.400639,0.8568994,-4.81,0.06662912
HOXB5,0.962,0.40069,0.856805,-4.81,0.06842289
CLDN8,0.962,0.400698,0.8567913,-4.81,0.05050123
ITGA5,0.962,0.400724,0.8567431,-4.81,0.08951445
SUPT7L,0.962,0.400808,-0.856587,-4.81,-0.11008048
PSMF1,0.962,0.400906,-0.856406,-4.81,-0.15636721
GRPR,0.962,0.400952,-0.856322,-4.81,-0.06460199
LILRA1,0.962,0.401027,0.8561824,-4.81,0.07662024
C3orf36,0.962,0.401069,0.8561043,-4.81,0.06303773
MYH14,0.962,0.401093,0.8560602,-4.81,0.0690402
CDH12,0.962,0.40113,0.8559919,-4.81,0.05551515
YIPF6,0.962,0.401142,-0.8559695,-4.81,-0.09291129
IL9R,0.962,0.401235,0.8557978,-4.81,0.07266002
FABP7,0.962,0.401249,0.8557733,-4.81,0.05414982
LRRC8D,0.962,0.401273,-0.8557278,-4.81,-0.06169682
,0.962,0.40132,0.8556419,-4.81,0.0901494
LINC00623///LINC00869,0.962,0.401336,-0.8556112,-4.81,-0.07122459
TRAK1,0.962,0.401341,0.8556031,-4.81,0.09203219
LOC102724229///RASA4B///RASA4,0.962,0.40136,-0.8555685,-4.81,-0.24926038
SPCS2,0.962,0.401372,-0.8555454,-4.81,-0.10934744
,0.962,0.401385,0.8555213,-4.81,0.10124102
SNRK,0.962,0.401456,-0.8553906,-4.81,-0.10248203
OCEL1,0.962,0.40147,0.8553644,-4.81,0.0661788
EVI5,0.962,0.40153,-0.8552538,-4.81,-0.08681579
KRT17///JUP,0.962,0.401633,0.8550634,-4.81,0.09619884
DMP1,0.962,0.401642,0.8550473,-4.81,0.05154312
KLHL25,0.962,0.401672,-0.854992,-4.81,-0.0833251
SLC17A5,0.962,0.401713,-0.8549164,-4.81,-0.05645309
GNA11,0.962,0.401717,-0.8549086,-4.81,-0.0794682
TRAM2,0.962,0.40174,-0.8548666,-4.81,-0.09135714
ZNF688,0.962,0.401746,0.8548558,-4.81,0.08168392
CCL3L3///CCL3L1///CCL3,0.962,0.401783,-0.854786,-4.81,-0.14782038
GPR45,0.962,0.401934,0.8545075,-4.81,0.06106982
LRRFIP1,0.962,0.402084,-0.8542312,-4.81,-0.06642256
ASCC1,0.962,0.402098,-0.8542049,-4.81,-0.10812788
,0.962,0.402201,-0.8540153,-4.81,-0.04128494
LRRN3,0.962,0.402212,-0.8539955,-4.81,-0.31148667
GRIA4,0.962,0.402218,0.8539843,-4.81,0.09678912
MIR7109///PISD,0.962,0.402236,0.8539503,-4.81,0.11893139
NR3C1,0.962,0.402322,-0.8537929,-4.81,-0.0605525
TSTD2///TMOD1,0.962,0.402354,-0.8537327,-4.81,-0.06833172
ACACA,0.962,0.402355,-0.8537323,-4.81,-0.07636409
YIPF4,0.962,0.402489,0.8534855,-4.81,0.06482573
MFSD7,0.962,0.402504,0.8534575,-4.81,0.08664765
CSTF2,0.962,0.402516,-0.8534346,-4.81,-0.06706429
MBD4,0.962,0.40253,-0.8534082,-4.81,-0.06737905
KDM3A,0.962,0.402568,-0.8533399,-4.81,-0.10147247
BRWD1,0.962,0.402598,-0.853284,-4.81,-0.08536067
VPS13C,0.962,0.402659,-0.8531708,-4.81,-0.0519871
FAM224A,0.962,0.402762,-0.8529808,-4.81,-0.04458435
OCLM,0.962,0.402831,-0.8528547,-4.81,-0.06914554
FKBP4,0.962,0.40284,-0.8528385,-4.81,-0.06054716
PDE4A,0.962,0.402847,0.8528252,-4.81,0.11992502
,0.962,0.40285,-0.852819,-4.81,-0.07199554
PDS5B,0.962,0.402865,-0.8527922,-4.81,-0.12228613
RNF24,0.962,0.402971,0.8525964,-4.81,0.11069927
RAB11FIP3,0.962,0.403001,-0.8525414,-4.81,-0.05819769
FYB,0.962,0.403037,-0.8524745,-4.81,-0.13122587
E2F2,0.962,0.4032,-0.8521752,-4.81,-0.09373226
MAG,0.962,0.403316,-0.8519607,-4.81,-0.08644762
BBOX1,0.962,0.403413,0.8517832,-4.81,0.05817802
C1QTNF3-AMACR///AMACR,0.962,0.403434,-0.8517436,-4.81,-0.09777279
YME1L1,0.962,0.403561,0.8515108,-4.82,0.0504468
UBA52,0.962,0.403564,0.8515054,-4.82,0.05953007
RAB25,0.962,0.403641,-0.8513626,-4.82,-0.07028642
FJX1,0.962,0.403652,0.8513435,-4.82,0.06353455
TRIO,0.962,0.403731,0.8511978,-4.82,0.0539063
GADD45G,0.962,0.40383,0.8510163,-4.82,0.06153297
SSBP1,0.962,0.403867,-0.8509473,-4.82,-0.09148464
LGALS3BP,0.962,0.403979,0.8507409,-4.82,0.07159386
TARS,0.962,0.403998,-0.850706,-4.82,-0.0981308
PHLDA2,0.962,0.40402,0.8506661,-4.82,0.1010334
PTGIR,0.962,0.404097,0.8505242,-4.82,0.06639047
RNF14,0.962,0.40411,-0.8505008,-4.82,-0.11441431
HNRNPUL2-BSCL2///BSCL2,0.962,0.404133,0.8504585,-4.82,0.0798625
ZNF362,0.962,0.404142,-0.8504411,-4.82,-0.07124262
GADD45B,0.962,0.404164,0.8504018,-4.82,0.0645402
ALDH6A1,0.962,0.404174,-0.8503821,-4.82,-0.20903625
FAM215A,0.962,0.404182,-0.8503674,-4.82,-0.0860393
CEACAM5,0.962,0.404183,0.8503659,-4.82,0.06700129
EIF3M,0.962,0.404285,-0.8501783,-4.82,-0.13841848
PPARD,0.962,0.404295,-0.8501612,-4.82,-0.09209628
LAPTM4A,0.962,0.404372,0.8500195,-4.82,0.08154488
TMEM189-UBE2V1///TMEM189///UBE2V2///UBE2V1,0.962,0.404397,-0.8499727,-4.82,-0.0954915
RCN3,0.962,0.404435,0.8499036,-4.82,0.08717761
DSG2,0.962,0.404492,0.849798,-4.82,0.05482917
PWP1,0.962,0.404521,-0.8497453,-4.82,-0.08549576
P2RY6,0.962,0.40454,0.8497098,-4.82,0.0474288
ZFP36L1,0.962,0.404544,0.8497034,-4.82,0.06702557
BRD2,0.962,0.404566,-0.8496618,-4.82,-0.07780466
AKAP8L,0.962,0.404655,-0.8494996,-4.82,-0.09027925
LOXL2,0.962,0.404674,0.8494634,-4.82,0.09555163
LOC100507388,0.962,0.404729,0.8493625,-4.82,0.08233972
MPPE1,0.962,0.404832,0.8491748,-4.82,0.06570463
ITGB4,0.962,0.404876,0.8490934,-4.82,0.08776679
TMEM8B,0.962,0.404889,-0.8490689,-4.82,-0.06657128
RDX,0.962,0.404899,-0.849051,-4.82,-0.12723632
B4GALT6,0.962,0.404923,0.8490077,-4.82,0.07022927
LOC101930405,0.962,0.404946,0.8489651,-4.82,0.06958709
GJB3,0.962,0.404975,0.8489115,-4.82,0.07668443
KIAA1644,0.962,0.404978,0.8489056,-4.82,0.06986914
LHX2,0.962,0.404985,0.8488938,-4.82,0.05521951
,0.962,0.405036,-0.8487986,-4.82,-0.12055511
SLC4A2,0.962,0.405087,0.8487057,-4.82,0.05770593
BMPR1B,0.962,0.405104,0.8486747,-4.82,0.06880906
,0.962,0.405109,0.8486648,-4.82,0.05251076
STX6,0.962,0.405296,-0.8483226,-4.82,-0.11506248
DAZ4///DAZ2///DAZ3///DAZ1,0.962,0.40544,0.8480577,-4.82,0.0454545
ZNF354A,0.962,0.405491,-0.8479642,-4.82,-0.11216044
GUCY2F,0.962,0.405522,-0.8479077,-4.82,-0.06996665
HIST1H3I,0.962,0.405605,0.8477562,-4.82,0.05937963
TMPRSS4,0.962,0.40561,0.8477461,-4.82,0.07565732
FRY,0.962,0.405634,-0.8477029,-4.82,-0.10197177
FN3KRP,0.962,0.405664,-0.8476473,-4.82,-0.10440087
RAB14,0.962,0.405688,-0.8476025,-4.82,-0.07527459
NAB2,0.962,0.405697,-0.8475867,-4.82,-0.07825775
NEBL,0.962,0.405826,-0.8473508,-4.82,-0.30601048
KPNA6,0.962,0.40588,0.8472511,-4.82,0.07408066
SMARCA2,0.962,0.405892,-0.8472292,-4.82,-0.04822984
OTUD4,0.962,0.4059,-0.8472149,-4.82,-0.0791605
ATG12,0.962,0.405944,0.8471337,-4.82,0.05993671
TAPBPL,0.962,0.405982,0.8470633,-4.82,0.09893641
SLC19A1,0.962,0.406012,0.8470082,-4.82,0.08019972
IGK///IGKC,0.962,0.406034,0.8469686,-4.82,0.09210949
ACAA2,0.962,0.406062,0.8469171,-4.82,0.10443726
MDH2,0.962,0.406086,-0.8468737,-4.82,-0.11384001
KCND3,0.962,0.406086,0.8468736,-4.82,0.07412
LOC55338,0.962,0.406208,-0.8466506,-4.82,-0.06051126
TPMT,0.962,0.406326,0.8464328,-4.82,0.0566627
HMGB2,0.962,0.406343,0.8464023,-4.82,0.23116512
CD36,0.962,0.406369,0.8463544,-4.82,0.06382256
CDA,0.962,0.406376,0.8463429,-4.82,0.18063335
SCARB1,0.962,0.406606,0.8459215,-4.82,0.06663833
PRSS53,0.962,0.406636,0.8458666,-4.82,0.06831808
GRSF1,0.962,0.406636,-0.8458659,-4.82,-0.13531022
CABP1,0.962,0.40666,0.8458213,-4.82,0.0738627
UTY,0.962,0.406701,-0.8457475,-4.82,-0.07871175
MYO7B,0.962,0.406724,0.8457041,-4.82,0.05039175
1-Dec,0.962,0.40674,0.8456751,-4.82,0.0500999
U2AF2,0.962,0.406771,-0.8456188,-4.82,-0.06972752
CDH3,0.962,0.406859,-0.8454583,-4.82,-0.0709877
USP33,0.962,0.406868,-0.845441,-4.82,-0.11158023
BCL2,0.962,0.406909,0.8453655,-4.82,0.11222
RAB3GAP2///AURKAPS1,0.962,0.406914,-0.8453562,-4.82,-0.08335347
PPP2R3A,0.962,0.406956,0.8452797,-4.82,0.06235275
NOL7,0.962,0.407028,0.8451477,-4.82,0.10645208
NDRG1,0.962,0.407071,-0.8450702,-4.82,-0.06174583
FAM189B,0.962,0.407074,-0.8450632,-4.82,-0.06085629
ACAP2,0.962,0.407094,-0.8450281,-4.82,-0.10643978
GMCL1,0.962,0.407137,-0.8449495,-4.82,-0.13042231
KCNH4,0.962,0.407138,0.844947,-4.82,0.08244648
CHN1,0.962,0.407196,-0.8448405,-4.82,-0.07674012
CHPF2,0.962,0.407227,0.8447838,-4.82,0.0524869
NDRG3,0.962,0.407275,-0.8446961,-4.82,-0.07092657
FANCG,0.962,0.40728,-0.8446863,-4.82,-0.07648859
TEN1-CDK3///CDK3,0.962,0.407282,0.8446839,-4.82,0.05499687
LOC100509764///KRT86,0.962,0.407359,0.8445427,-4.82,0.07690515
AGA,0.962,0.407392,-0.844483,-4.82,-0.11407709
LSAMP,0.962,0.407393,0.8444799,-4.82,0.09354239
RXRB,0.962,0.40748,0.8443205,-4.82,0.06671724
,0.962,0.407488,0.8443063,-4.82,0.07713766
TPM2,0.962,0.407496,0.8442914,-4.82,0.07977848
MED12,0.962,0.407498,0.8442878,-4.82,0.06671247
FBXL2,0.962,0.407514,0.8442591,-4.82,0.05696468
,0.962,0.407559,-0.8441768,-4.82,-0.08995256
LINC00963,0.962,0.407767,-0.8437971,-4.82,-0.06581888
,0.962,0.40777,-0.8437914,-4.82,-0.05328634
ATP1B4,0.962,0.407809,0.84372,-4.82,0.05673294
TRA2B,0.962,0.407863,-0.8436206,-4.82,-0.11504536
CDC42BPA,0.962,0.407883,-0.8435843,-4.82,-0.08355145
ANK3,0.962,0.407967,-0.8434302,-4.82,-0.13527355
KIAA0391,0.962,0.407999,0.843372,-4.82,0.05410275
DDX11,0.962,0.40801,-0.8433519,-4.82,-0.07836208
DICER1,0.962,0.408011,0.8433498,-4.82,0.06856074
HEXA-AS1,0.962,0.408088,0.8432101,-4.82,0.05169439
HPR,0.962,0.408111,0.8431676,-4.82,0.05375719
AGTPBP1,0.962,0.408372,-0.842692,-4.82,-0.12702246
TIGD6,0.962,0.408402,0.8426365,-4.82,0.04377933
LXN,0.962,0.408415,-0.8426118,-4.82,-0.10409937
LAMTOR5,0.962,0.40842,0.8426043,-4.82,0.10616636
IQCG,0.962,0.408544,0.8423778,-4.82,0.07804337
PRIM2B///PRIM2,0.962,0.408629,-0.8422219,-4.82,-0.06692333
,0.962,0.408689,-0.8421129,-4.82,-0.06898403
HSD17B8,0.962,0.408706,0.8420818,-4.82,0.07950988
LARP7,0.962,0.408802,0.8419069,-4.82,0.07939157
SMIM2,0.962,0.408856,0.841807,-4.82,0.05572009
EHD2,0.962,0.408873,0.8417773,-4.82,0.06790333
ITGB7,0.962,0.408897,0.841732,-4.82,0.05553293
COL1A2,0.962,0.408925,0.8416816,-4.82,0.05324841
ALMS1,0.962,0.409053,-0.841448,-4.82,-0.07977433
MAPK8IP2,0.962,0.409114,0.8413374,-4.82,0.08903451
LINC01314,0.962,0.409193,0.8411929,-4.82,0.07838893
,0.962,0.409318,-0.840965,-4.82,-0.07116661
EML2,0.962,0.409348,0.84091,-4.82,0.08920631
DDB1,0.962,0.409469,-0.8406891,-4.82,-0.07859354
LOXL2,0.962,0.409534,-0.8405713,-4.82,-0.10264482
CAST,0.962,0.40955,-0.8405414,-4.82,-0.06841655
PAIP1,0.962,0.409635,-0.8403862,-4.82,-0.12053814
AP2S1,0.962,0.409648,0.8403636,-4.82,0.06252604
,0.962,0.40965,0.8403593,-4.82,0.05570674
GNAS,0.962,0.409654,0.8403521,-4.82,0.16497474
CCDC85C,0.962,0.409717,-0.8402383,-4.82,-0.0767653
KIAA0226L,0.962,0.409768,-0.8401454,-4.82,-0.12888465
TXN,0.962,0.40978,0.840123,-4.82,0.22684607
LGALS2,0.962,0.409793,0.8400982,-4.82,0.11825924
TDRD1,0.962,0.409846,0.8400018,-4.82,0.06060948
TPPP3,0.962,0.409853,0.8399902,-4.82,0.09145732
RNF115,0.962,0.409868,-0.8399619,-4.82,-0.09224091
NCF1C///NCF1B///NCF1,0.962,0.409886,0.8399302,-4.82,0.11913939
,0.962,0.409898,0.8399076,-4.82,0.04449618
UBA5,0.962,0.409913,-0.8398809,-4.82,-0.09755039
