Gene symbol	Aliases	Description	Disease count
TRAF3	CAP-1, CAP1, CD40bp, CRAF1, IIAE5, LAP1	TNF receptor-associated factor 3	3	
TRAF5	MGC:39780, RNF84	TNF receptor-associated factor 5	3	
TRAF6	MGC:3310, RNF85	TNF receptor-associated factor 6, E3 ubiquitin protein ligase	3	
TRH	Pro-TRH, TRF	thyrotropin-releasing hormone	3	
TRP-AGG2-3	TRNAP1, TRNP1, TRP1	transfer RNA-Pro (AGG) 2-3	1	
TRP-AGG2-4	TRNAP2, TRNP1, TRP2	transfer RNA-Pro (AGG) 2-4	1	
TRPC1	HTRP-1, TRP1	transient receptor potential cation channel, subfamily C, member 1	1	
TRPC5	PPP1R159, TRP5	transient receptor potential cation channel, subfamily C, member 5	1	
TRPC6	FSGS2, TRP6	transient receptor potential cation channel, subfamily C, member 6	3	
TRPM2	EREG1, KNP3, LTRPC2, NUDT9H, NUDT9L1, TRPC7	transient receptor potential cation channel, subfamily M, member 2	1	
TSC1	LAM, TSC	tuberous sclerosis 1	1	
TSHB	TSH-B, TSH-BETA	thyroid stimulating hormone, beta	1	
TSHR	CHNG1, LGR3, hTSHR-I	thyroid stimulating hormone receptor	3	
TST	RDS	thiosulfate sulfurtransferase (rhodanese)	1	
TTN	CMD1G, CMH9, CMPD4, EOMFC, HMERF, LGMD2J, MYLK5, TMD	titin	2	
TTR	CTS, CTS1, HEL111, HsT2651, PALB, TBPA	transthyretin	5	
TWIST1	ACS3, BPES2, BPES3, CRS, CRS1, CSO, SCS, TWIST, bHLHa38	twist family bHLH transcription factor 1	2	
TNFSF4	CD134L, CD252, GP34, OX-40L, OX4OL, TXGP1	tumor necrosis factor (ligand) superfamily, member 4	8	
TNFRSF4	ACT35, CD134, IMD16, OX40, TXGP1L	tumor necrosis factor receptor superfamily, member 4	9	
TXK	BTKL, PSCTK5, PTK4, RLK, TKL	TXK tyrosine kinase	3	
TXN	TRDX, TRX, TRX1	thioredoxin	1	
TYK2	IMD35, JTK1	tyrosine kinase 2	9	
TYMS	HST422, TMS, TS	thymidylate synthetase	2	
TYR	ATN, CMM8, OCA1, OCA1A, OCAIA, SHEP3	tyrosinase	2	
TYROBP	DAP12, KARAP, PLOSL	TYRO protein tyrosine kinase binding protein	4	
TYRP1	CAS2, CATB, GP75, OCA3, TRP, TRP1, TYRP, b-PROTEIN	tyrosinase-related protein 1	2	
UBA7	D8, UBA1B, UBE1L, UBE2	ubiquitin-like modifier activating enzyme 7	2	
UBE2D1	E2(17)KB1, SFT, UBC4/5, UBCH5, UBCH5A	ubiquitin-conjugating enzyme E2D 1	1	
UBE2I	C358B7.1, P18, UBC9	ubiquitin-conjugating enzyme E2I	1	
UBE2L3	E2-F1, L-UBC, UBCH7, UbcM4	ubiquitin-conjugating enzyme E2L 3	7	
UBE2N	HEL-S-71, UBC13, UBCHBEN; UBC13, UbcH-ben, UbcH13	ubiquitin-conjugating enzyme E2N	1	
SUMO1	DAP1, GMP1, OFC10, PIC1, SENP2, SMT3, SMT3C, SMT3H3, UBL1	small ubiquitin-like modifier 1	1	
UBTF	NOR-90, UBF, UBF-1, UBF1, UBF2	upstream binding transcription factor, RNA polymerase I	1	
UCHL1	HEL-117, NDGOA, PARK5, PGP 9.5, PGP9.5, PGP95, Uch-L1	ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)	1	
UCN	UI, UROC	urocortin	5	
UCP1	SLC25A7, UCP	uncoupling protein 1 (mitochondrial, proton carrier)	1	
UCP2	BMIQ4, SLC25A8, UCPH	uncoupling protein 2 (mitochondrial, proton carrier)	4	
SCGB1A1	CC10, CC16, CCPBP, CCSP, UGB, UP-1, UP1	secretoglobin, family 1A, member 1 (uteroglobin)	3	
UGT1A	GNT1, UGT, UGT1, UGT1A@	UDP glucuronosyltransferase 1 family, polypeptide A complex locus	1	
UNG	DGU, HIGM4, HIGM5, UDG, UNG1, UNG15, UNG2	uracil DNA glycosylase	1	
USP4	UNP, Unph	ubiquitin specific peptidase 4 (proto-oncogene)	2	
NR1H2	LXR-b, LXRB, NER, NER-I, RIP15, UNR	nuclear receptor subfamily 1, group H, member 2	1	
USF1	FCHL, FCHL1, HYPLIP1, MLTF, MLTFI, UEF, bHLHb11	upstream transcription factor 1	2	
UVRAG	DHTX, VPS38, p63	UV radiation resistance associated	1	
VAV1	VAV	vav 1 guanine nucleotide exchange factor	2	
VAV2	VAV-2	vav 2 guanine nucleotide exchange factor	1	
VCAM1	CD106, INCAM-100	vascular cell adhesion molecule 1	10	
VCL	CMD1W, CMH15, HEL114, MV, MVCL	vinculin	1	
VCP	ALS14, HEL-220, HEL-S-70, IBMPFD, IBMPFD1, TERA, p97	valosin containing protein	1	
VDR	NR1I1, PPP1R163	vitamin D (1,25- dihydroxyvitamin D3) receptor	14	
VEGFA	MVCD1, VEGF, VPF	vascular endothelial growth factor A	23	
VEGFC	Flt4-L, LMPH1D, VRP	vascular endothelial growth factor C	2	
VIL1	D2S1471, VIL	villin 1	1	
EZR	CVIL, CVL, HEL-S-105, VIL2	ezrin	1	
VIM	CTRCT30, HEL113	vimentin	9	
VIP	PHM27	vasoactive intestinal peptide	12	
VIPR1	HVR1, II, PACAP-R-2, PACAP-R2, RDC1, V1RG, VAPC1, VIP-R-1, VIPR, VIRG, VPAC1, VPAC1R, VPCAP1R	vasoactive intestinal peptide receptor 1	3	
VIPR2	C16DUPq36.3, DUP7q36.3, PACAP-R-3, PACAP-R3, VIP-R-2, VPAC2, VPAC2R, VPCAP2R	vasoactive intestinal peptide receptor 2	1	
VPREB1	CD179a, IGI, IGVPB, VPREB	pre-B lymphocyte 1	2	
TRPV1	VR1	transient receptor potential cation channel, subfamily V, member 1	4	
VTN	V75, VN, VNT	vitronectin	5	
VWF	F8VWF, VWD	von Willebrand factor	12	
WAS	IMD2, SCNX, THC, THC1, WASP, WASPA	Wiskott-Aldrich syndrome	1	
CLIP2	CLIP, CLIP-115, CYLN2, WBSCR3, WBSCR4, WSCR3, WSCR4	CAP-GLY domain containing linker protein 2	1	
WNT1	BMND16, INT1, OI15	wingless-type MMTV integration site family, member 1	2	
WNT2	INT1L1, IRP	wingless-type MMTV integration site family member 2	1	
WNT3	INT4, TETAMS	wingless-type MMTV integration site family, member 3	3	
WNT5A	hWNT5A	wingless-type MMTV integration site family, member 5A	3	
WNT7A		wingless-type MMTV integration site family, member 7A	1	
WNT7B		wingless-type MMTV integration site family, member 7B	1	
WNT10B	SHFM6, WNT-12	wingless-type MMTV integration site family, member 10B	1	
WRN	RECQ3, RECQL2, RECQL3	Werner syndrome, RecQ helicase-like	1	
WT1	AWT1, EWS-WT1, GUD, NPHS4, WAGR, WIT-2, WT33	Wilms tumor 1	1	
XBP1	TREB-5, TREB5, XBP-1, XBP2	X-box binding protein 1	7	
XDH	XO, XOR	xanthine dehydrogenase	1	
XIST	DXS1089, DXS399E, LINC00001, NCRNA00001, SXI1, swd66	X inactive specific transcript (non-protein coding)	1	
XPNPEP2	AEACEI, APP2	X-prolyl aminopeptidase (aminopeptidase P) 2, membrane-bound	1	
XRCC1	RCC	X-ray repair complementing defective repair in Chinese hamster cells 1	6	
XRCC3	CMM6	X-ray repair complementing defective repair in Chinese hamster cells 3	2	
XRCC4		X-ray repair complementing defective repair in Chinese hamster cells 4	2	
XRCC5	KARP-1, KARP1, KU80, KUB2, Ku86, NFIV	X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining)	1	
YWHAG	14-3-3GAMMA, PPP1R170	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma	1	
ZAP70	SRK, STCD, STD, TZK, ZAP-70	zeta-chain (TCR) associated protein kinase 70kDa	2	
ZFP36	G0S24, GOS24, NUP475, RNF162A, TIS11, TTP, zfp-36	ZFP36 ring finger protein	1	
ZIC1	ZIC, ZNF201	Zic family member 1	1	
ZIC3	HTX, HTX1, VACTERLX, ZNF203	Zic family member 3	1	
ZSCAN21	NY-REN-21, ZNF38, Zipro1	zinc finger and SCAN domain containing 21	1	
ZNF143	SBF, STAF, pHZ-1	zinc finger protein 143	1	
ZNF148	BERF-1, BFCOL1, HT-BETA, ZBP-89, ZFP148, pHZ-52	zinc finger protein 148	1	
ZNF154	pHZ-92	zinc finger protein 154	1	
ZNF175	OTK18	zinc finger protein 175	1	
RNF112	BFP, ZNF179	ring finger protein 112	1	
LRP8	APOER2, HSZ75190, LRP-8, MCI1	low density lipoprotein receptor-related protein 8, apolipoprotein e receptor	1	
LAPTM5	CLAST6	lysosomal protein transmembrane 5	1	
EVI5	EVI-5, NB4S	ecotropic viral integration site 5	1	
BTG2	PC3, TIS21	BTG family, member 2	1	
LEPQTL1	LSL	Leptin, serum levels of	1	
IL1R2	CD121b, CDw121b, IL-1R-2, IL-1RT-2, IL-1RT2, IL1R2c, IL1RB	interleukin 1 receptor, type II	3	
CXCR4	CD184, D2S201E, FB22, HM89, HSY3RR, LAP-3, LAP3, LCR1, LESTR, NPY3R, NPYR, NPYRL, NPYY3R, WHIM, WHIMS	chemokine (C-X-C motif) receptor 4	8	
SCG2	CHGC, EM66, SN, SgII	secretogranin II	1	
SLMAP	SLAP	sarcolemma associated protein	1	
MANF	ARMET, ARP	mesencephalic astrocyte-derived neurotrophic factor	1	
PSORS3		psoriasis susceptibility 3	1	
ST8SIA4	PST, PST1, SIAT8D, ST8SIA-IV	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4	2	
DEK	D6S231E	DEK proto-oncogene	2	
PRRC2A	BAT2, D6S51, D6S51E, G2	proline-rich coiled-coil 2A	2	
BAG6	BAG-6, BAT3, D6S52E, G3	BCL2-associated athanogene 6	2	
DDX39B	BAT1, D6S81E, UAP56	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39B	4	
LAP		Laryngeal adductor paralysis	2	
LST1	B144, D6S49E, LST-1	leukocyte specific transcript 1	3	
PLA2G7	LDL-PLA2, LP-PLA2, PAFAD, PAFAH	phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)	3	
ARHGEF5	GEF5, P60, TIM, TIM1	Rho guanine nucleotide exchange factor (GEF) 5	3	
GLRA3		glycine receptor, alpha 3	1	
BRD3	ORFX, RING3L	bromodomain containing 3	1	
SLC25A16	D10S105E, GDA, GDC, HGT.1, ML7, hML7	solute carrier family 25 (mitochondrial carrier), member 16	1	
ADAM12	ADAM12-OT1, CAR10, MCMP, MCMPMltna, MLTN, MLTNA	ADAM metallopeptidase domain 12	1	
PDHX	DLDBP, E3BP, OPDX, PDX1, proX	pyruvate dehydrogenase complex, component X	2	
FOSL1	FRA, FRA1, fra-1	FOS-like antigen 1	4	
FGF23	ADHR, FGFN, HPDR2, HYPF, PHPTC	fibroblast growth factor 23	4	
AP3B2	NAPTB	adaptor-related protein complex 3, beta 2 subunit	1	
SLC7A5	4F2LC, CD98, D16S469E, E16, LAT1, MPE16, hLAT1	solute carrier family 7 (amino acid transporter light chain, L system), member 5	1	
COIL	CLN80, p80-coilin	coilin	1	
CDR3		Cerebellar degeneration-related autoantigen-3	3	
MADCAM1	MACAM1	mucosal vascular addressin cell adhesion molecule 1	4	
MIA	CD-RAP	melanoma inhibitory activity	2	
GDF5	BDA1C, BMP-14, BMP14, CDMP1, LAP-4, LAP4, OS5, SYM1B, SYNS2	growth differentiation factor 5	2	
NCOA3	ACTR, AIB-1, AIB1, CAGH16, CTG26, KAT13B, RAC3, SRC-3, SRC3, TNRC14, TNRC16, TRAM-1, bHLHe42, pCIP	nuclear receptor coactivator 3	1	
NRIP1	RIP140	nuclear receptor interacting protein 1	1	
C21orf33	ES1, GT335, HES1, KNPH, KNPI	chromosome 21 open reading frame 33	3	
SYN3		synapsin III	1	
DXS435E	A11	A-11 gene	1	
TMEM187	CXorf12, DXS9878E, ITBA1	transmembrane protein 187	1	
TKTL1	TKR, TKT2	transketolase-like 1	1	
EPX	EPO, EPP, EPX-PEN	eosinophil peroxidase	3	
COLQ	CMS5, EAD	collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase	1	
PICALM	CALM, CLTH, LAP	phosphatidylinositol binding clathrin assembly protein	1	
EOMES	TBR2	eomesodermin	2	
HIST2H2AA3	H2A, H2A.2, H2A/O, H2A/q, H2AFO, H2a-615, HIST2H2AA	histone cluster 2, H2aa3	1	
HIST2H2AC	H2A, H2A-GL101, H2A/q, H2AFQ	histone cluster 2, H2ac	1	
HIST2H2BE	GL105, H2B, H2B.1, H2BFQ, H2BGL105, H2BQ	histone cluster 2, H2be	1	
PLA2G6	CaI-PLA2, GVI, INAD1, IPLA2-VIA, NBIA2, NBIA2A, NBIA2B, PARK14, PLA2, PNPLA9, iPLA2, iPLA2beta	phospholipase A2, group VI (cytosolic, calcium-independent)	1	
PLA2G10	GXPLA2, GXSPLA2, SPLA2	phospholipase A2, group X	1	
SPOP	BTBD32, TEF2	speckle-type POZ protein	1	
ULK1	ATG1, ATG1A, UNC51, Unc51.1, hATG1	unc-51 like autophagy activating kinase 1	2	
NR0B2	SHP, SHP1	nuclear receptor subfamily 0, group B, member 2	2	
RECK	ST15	reversion-inducing-cysteine-rich protein with kazal motifs	1	
CUL1		cullin 1	1	
FOXN1	FKHL20, RONU, WHN	forkhead box N1	1	
TTF2	HuF2, ZGRF6	transcription termination factor, RNA polymerase II	1	
GPR65	TDAG8, hTDAG8	G protein-coupled receptor 65	3	
SEMA7A	CD108, CDw108, H-SEMA-K1, H-Sema-L, JMH, SEMAK1, SEMAL	semaphorin 7A, GPI membrane anchor (John Milton Hagen blood group)	1	
CILP	CILP-1, HsT18872	cartilage intermediate layer protein, nucleotide pyrophosphohydrolase	1	
RGS5	MST092, MST106, MST129, MSTP032, MSTP092, MSTP106, MSTP129	regulator of G-protein signaling 5	1	
MAP4K3	GLK, MAPKKKK3, MEKKK 3, MEKKK3, RAB8IPL1	mitogen-activated protein kinase kinase kinase kinase 3	2	
PARG	PARG99	poly (ADP-ribose) glycohydrolase	1	
CNTNAP1	CASPR, CNTNAP, NRXN4, P190	contactin associated protein 1	1	
ITGA8		integrin, alpha 8	2	
IKBKG	AMCBX1, FIP-3, FIP3, Fip3p, IKK-gamma, IMD33, IP, IP1, IP2, IPD2, NEMO, ZC2HC9	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma	4	
IFITM1	9-27, CD225, DSPA2a, IFI17, LEU13	interferon induced transmembrane protein 1	1	
DGKD	DGKdelta, dgkd-2	diacylglycerol kinase, delta 130kDa	1	
LMO4		LIM domain only 4	1	
FCN3	FCNH, HAKA1	ficolin (collagen/fibrinogen domain containing) 3	1	
MAPKAPK5	MAPKAP-K5, MK-5, MK5, PRAK	mitogen-activated protein kinase-activated protein kinase 5	1	
INE1	NCRNA00010	inactivation escape 1 (non-protein coding)	1	
PIAS1	DDXBP1, GBP, GU/RH-II, ZMIZ3	protein inhibitor of activated STAT, 1	1	
PRPF18	PRP18, hPrp18	pre-mRNA processing factor 18	1	
DEGS1	DEGS, DEGS-1, DES1, Des-1, FADS7, MIG15, MLD	delta(4)-desaturase, sphingolipid 1	1	
PDLIM4	RIL	PDZ and LIM domain 4	2	
PRKRA	DYT16, HSD14, PACT, RAX	protein kinase, interferon-inducible double stranded RNA dependent activator	1	
TNFSF11	CD254, ODF, OPGL, OPTB2, RANKL, TRANCE, hRANKL2, sOdf	tumor necrosis factor (ligand) superfamily, member 11	8	
RUVBL1	ECP54, INO80H, NMP238, PONTIN, Pontin52, RVB1, TIH1, TIP49, TIP49A	RuvB-like AAA ATPase 1	1	
PPAP2B	Dri42, LPP3, PAP2B, VCIP	phosphatidic acid phosphatase type 2B	2	
PSMG1	C21LRP, DSCR2, LRPC21, PAC-1, PAC1	proteasome (prosome, macropain) assembly chaperone 1	2	
RFXANK	ANKRA1, BLS, F14150_1, RFX-B	regulatory factor X-associated ankyrin-containing protein	1	
RNASET2	RNASE6PL, bA514O12.3	ribonuclease T2	4	
OASL	OASLd, TRIP-14, TRIP14, p59 OASL, p59-OASL, p59OASL	2'-5'-oligoadenylate synthetase-like	2	
AOC3	HPAO, SSAO, VAP-1, VAP1	amine oxidase, copper containing 3	4	
AKR1C3	DD3, DDX, HA1753, HAKRB, HAKRe, HSD17B5, PGFS, hluPGFS	aldo-keto reductase family 1, member C3	1	
ABCB11	ABC16, BRIC2, BSEP, PFIC-2, PFIC2, PGY4, SPGP	ATP-binding cassette, sub-family B (MDR/TAP), member 11	1	
SOCS1	CIS1, CISH1, JAB, SOCS-1, SSI-1, SSI1, TIP3	suppressor of cytokine signaling 1	12	
PDE5A	CGB-PDE, CN5A, PDE5	phosphodiesterase 5A, cGMP-specific	1	
EIF3C	EIF3CL, EIF3S8, eIF3-p110	eukaryotic translation initiation factor 3, subunit C	2	
EIF3G	EIF3-P42, EIF3S4, eIF3-delta, eIF3-p44	eukaryotic translation initiation factor 3, subunit G	1	
BECN1	ATG6, VPS30, beclin1	beclin 1, autophagy related	2	
MARCO	SCARA2	macrophage receptor with collagenous structure	2	
JRKL	HHMJG	JRK-like	1	
IDDM17		insulin-dependent diabetes mellitus 17	1	
HYAL2	LUCA2	hyaluronoglucosaminidase 2	1	
SERPINB7	MEGSIN, PPKN, TP55	serpin peptidase inhibitor, clade B (ovalbumin), member 7	1	
ABCC3	ABC31, EST90757, MLP2, MOAT-D, MRP3, cMOAT2	ATP-binding cassette, sub-family C (CFTR/MRP), member 3	1	
TRADD	Hs.89862	TNFRSF1A-associated via death domain	1	
TNFRSF25	APO-3, DDR3, DR3, LARD, TNFRSF12, TR3, TRAMP, WSL-1, WSL-LR	tumor necrosis factor receptor superfamily, member 25	6	
MBTPS1	PCSK8, S1P, SKI-1	membrane-bound transcription factor peptidase, site 1	6	
ADAM19	FKSG34, MADDAM, MLTNB	ADAM metallopeptidase domain 19	1	
RIPK1	RIP, RIP1	receptor (TNFRSF)-interacting serine-threonine kinase 1	2	
TNFSF14	CD258, HVEML, LIGHT, LTg, TR2	tumor necrosis factor (ligand) superfamily, member 14	1	
TNFSF13	APRIL, CD256, TALL-2, TALL2, TRDL-1, UNQ383/PRO715, ZTNF2	tumor necrosis factor (ligand) superfamily, member 13	7	
TNFSF12	APO3L, DR3LG, TWEAK	tumor necrosis factor (ligand) superfamily, member 12	7	
TNFSF10	APO2L, Apo-2L, CD253, TL2, TRAIL	tumor necrosis factor (ligand) superfamily, member 10	10	
TNFSF9	4-1BB-L, CD137L	tumor necrosis factor (ligand) superfamily, member 9	2	
ADAM15	MDC15	ADAM metallopeptidase domain 15	2	
ADAM9	CORD9, MCMP, MDC9, Mltng	ADAM metallopeptidase domain 9	1	
TNFRSF14	ATAR, CD270, HVEA, HVEM, LIGHTR, TR2	tumor necrosis factor receptor superfamily, member 14	5	
RIPK2	CARD3, CARDIAK, CCK, GIG30, RICK, RIP2	receptor-interacting serine-threonine kinase 2	5	
TNFRSF6B	DCR3, DJ583P15.1.1, M68, M68E, TR6	tumor necrosis factor receptor superfamily, member 6b, decoy	7	
FADD	GIG3, MORT1	Fas (TNFRSF6)-associated via death domain	3	
NAPA	SNAPA	N-ethylmaleimide-sensitive factor attachment protein, alpha	1	
SIGLEC5	CD170, CD33L2, OB-BP2, OBBP2, SIGLEC-5	sialic acid binding Ig-like lectin 5	1	
TNFRSF18	AITR, CD357, GITR, GITR-D	tumor necrosis factor receptor superfamily, member 18	6	
RGS9	PERRS, RGS9L	regulator of G-protein signaling 9	1	
DLK1	DLK, DLK-1, Delta1, FA1, PREF1, Pref-1, ZOG, pG2	delta-like 1 homolog (Drosophila)	2	
TNFRSF10D	CD264, DCR2, TRAIL-R4, TRAILR4, TRUNDD	tumor necrosis factor receptor superfamily, member 10d, decoy with truncated death domain	3	
TNFRSF10C	CD263, DCR1, DCR1-TNFR, LIT, TRAIL-R3, TRAILR3, TRID	tumor necrosis factor receptor superfamily, member 10c, decoy without an intracellular domain	3	
TNFRSF10B	CD262, DR5, KILLER, KILLER/DR5, TRAIL-R2, TRAILR2, TRICK2, TRICK2A, TRICK2B, TRICKB, ZTNFR9	tumor necrosis factor receptor superfamily, member 10b	2	
TNFRSF10A	APO2, CD261, DR4, TRAILR-1, TRAILR1	tumor necrosis factor receptor superfamily, member 10a	4	
SUCLA2	A-BETA, MTDPS5, SCS-betaA	succinate-CoA ligase, ADP-forming, beta subunit	1	
CREG1	CREG	cellular repressor of E1A-stimulated genes 1	1	
TRIM24	PTC6, RNF82, TF1A, TIF1, TIF1A, TIF1ALPHA, hTIF1	tripartite motif containing 24	1	
IL18RAP	ACPL, CD218b, CDw218b, IL-18R-beta, IL-18RAcP, IL-18Rbeta, IL-1R-7, IL-1R7, IL-1RAcPL, IL18RB	interleukin 18 receptor accessory protein	8	
IL1RL2	IL-1Rrp2, IL-36R, IL1R-rp2, IL1RRP2	interleukin 1 receptor-like 2	4	
IL18R1	CD218a, CDw218a, IL-1Rrp, IL18RA, IL1RRP	interleukin 18 receptor 1	10	
IQGAP1	HUMORFA01, SAR1, p195	IQ motif containing GTPase activating protein 1	1	
NRP1	BDCA4, CD304, NP1, NRP, VEGF165R	neuropilin 1	2	
CD84	LY9B, SLAMF5, hCD84, mCD84	CD84 molecule	1	
CFLAR	CASH, CASP8AP1, CLARP, Casper, FLAME, FLAME-1, FLAME1, FLIP, I-FLICE, MRIT, c-FLIP, c-FLIPL, c-FLIPR, c-FLIPS	CASP8 and FADD-like apoptosis regulator	5	
WISP3	CCN6, LIBC, PPAC, PPD, WISP-3	WNT1 inducible signaling pathway protein 3	1	
WISP2	CCN5, CT58, CTGF-L	WNT1 inducible signaling pathway protein 2	1	
WISP1	CCN4, WISP1c, WISP1i, WISP1tc	WNT1 inducible signaling pathway protein 1	3	
HDAC3	HD3, RPD3, RPD3-2	histone deacetylase 3	3	
PROM1	AC133, CD133, CORD12, MCDR2, MSTP061, PROML1, RP41, STGD4	prominin 1	3	
KSR1	KSR, RSU2	kinase suppressor of ras 1	1	
CDK5R1	CDK5P35, CDK5R, NCK5A, p23, p25, p35, p35nck5a	cyclin-dependent kinase 5, regulatory subunit 1 (p35)	1	
ASAP2	AMAP2, CENTB3, DDEF2, PAG3, PAP, Pap-alpha, SHAG1	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2	1	
NR1I2	BXR, ONR1, PAR, PAR1, PAR2, PARq, PRR, PXR, SAR, SXR	nuclear receptor subfamily 1, group I, member 2	6	
FCGBP	FC(GAMMA)BP	Fc fragment of IgG binding protein	1	
APLN	APEL, XNPEP2	apelin	7	
PER3	GIG13	period circadian clock 3	2	
SYNJ1	INPP5G, PARK20	synaptojanin 1	1	
IER3	DIF-2, DIF2, GLY96, IEX-1, IEX-1L, IEX1, PRG1	immediate early response 3	1	
ARHGEF7	BETA-PIX, COOL-1, COOL1, Nbla10314, P50, P50BP, P85, P85COOL1, P85SPR, PAK3, PIXB	Rho guanine nucleotide exchange factor (GEF) 7	4	
VNN2	FOAP-4, GPI-80	vanin 2	1	
VNN1	HDLCQ8, Tiff66	vanin 1	2	
SPHK1	SPHK	sphingosine kinase 1	2	
SQSTM1	A170, FTDALS3, OSIL, PDB3, ZIP3, p60, p62, p62B	sequestosome 1	1	
SGPL1	S1PL, SPL	sphingosine-1-phosphate lyase 1	1	
EIF2B2	EIF-2Bbeta, EIF2B	eukaryotic translation initiation factor 2B, subunit 2 beta, 39kDa	1	
EIF2B5	CACH, CLE, EIF-2B, EIF2Bepsilon, LVWM	eukaryotic translation initiation factor 2B, subunit 5 epsilon, 82kDa	1	
MTMR3	FYVE-DSP1, ZFYVE10	myotubularin related protein 3	3	
ENDOU	P11, PP11, PRSS26	endonuclease, polyU-specific	1	
BCL10	CARMEN, CIPER, CLAP, IMD37, c-E10, mE10	B-cell CLL/lymphoma 10	3	
HERC2	D15F37S1, MRT38, SHEP1, jdf2, p528	HECT and RLD domain containing E3 ubiquitin protein ligase 2	1	
BSN	ZNF231	bassoon presynaptic cytomatrix protein	3	
PHOX2B	NBLST2, NBPhox, PMX2B	paired-like homeobox 2b	1	
MBD4	MED1	methyl-CpG binding domain 4 DNA glycosylase	2	
MBD2	DMTase, NY-CO-41	methyl-CpG binding domain protein 2	3	
RAB29	RAB7L, RAB7L1	RAB29, member RAS oncogene family	1	
SKAP2	PRAP, RA70, SAPS, SCAP2, SKAP-HOM, SKAP55R	src kinase associated phosphoprotein 2	2	
CHRNA6	CHNRA6	cholinergic receptor, nicotinic, alpha 6 (neuronal)	2	
P4HA2		prolyl 4-hydroxylase, alpha polypeptide II	1	
RPS6KA4	MSK2, RSK-B	ribosomal protein S6 kinase, 90kDa, polypeptide 4	3	
STBD1	GENEX3414, GENX-3414	starch binding domain 1	1	
SELENBP1	HEL-S-134P, LPSB, SBP56, SP56, hSBP	selenium binding protein 1	1	
PGLYRP1	PGLYRP, PGRP, PGRP-S, PGRPS, TAG7, TNFSF3L	peptidoglycan recognition protein 1	2	
TNFSF18	AITRL, GITRL, TL6, hGITRL	tumor necrosis factor (ligand) superfamily, member 18	5	
SLC25A14	BMCP1, UCP5	solute carrier family 25 (mitochondrial carrier, brain), member 14	1	
MAP3K14	FTDCR1B, HS, HSNIK, NIK	mitogen-activated protein kinase kinase kinase 14	4	
SOCS3	ATOD4, CIS3, Cish3, SOCS-3, SSI-3, SSI3	suppressor of cytokine signaling 3	4	
CH25H	C25H	cholesterol 25-hydroxylase	1	
HIP1R	HIP12, HIP3, ILWEQ	huntingtin interacting protein 1 related	1	
CCRL2	ACKR5, CKRX, CRAM, CRAM-A, CRAM-B, HCR	chemokine (C-C motif) receptor-like 2	1	
SEMA5A	SEMAF, semF	sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A	4	
SH2D2A	F2771, SCAP, TSAD, VRAP	SH2 domain containing 2A	2	
ARTN	ENOVIN, EVN, NBN	artemin	1	
PSTPIP1	CD2BP1, CD2BP1L, CD2BP1S, H-PIP, PAPAS, PSTPIP	proline-serine-threonine phosphatase interacting protein 1	2	
CLDN10	CPETRL3, OSP-L	claudin 10	1	
CLDN8		claudin 8	2	
CLDN2		claudin 2	3	
CLDN1	CLD1, ILVASC, SEMP1	claudin 1	4	
PIGQ	GPI1, c407A10.1	phosphatidylinositol glycan anchor biosynthesis, class Q	1	
FCGR2C	CD32, CD32C, CDW32, FCG2, FCRIIC, IGFR2	Fc fragment of IgG, low affinity IIc, receptor for (CD32) (gene/pseudogene)	1	
RGN	GNL, HEL-S-41, RC, SMP30	regucalcin	1	
MTA1		metastasis associated 1	1	
P2RX6	P2RXL1, P2X6, P2XM	purinergic receptor P2X, ligand gated ion channel, 6	1	
AIFM1	AIF, CMT2D, CMTX4, COWCK, COXPD6, NADMR, NAMSD, PDCD8	apoptosis-inducing factor, mitochondrion-associated, 1	1	
RABEP1	RAB5EP, RABPT5	rabaptin, RAB GTPase binding effector protein 1	1	
ATG12	APG12, APG12L, FBR93, HAPG12	autophagy related 12	3	
PDCD5	TFAR19	programmed cell death 5	2	
SYNGR1		synaptogyrin 1	1	
EXO1	HEX1, hExoI	exonuclease 1	1	
FIBP	FGFIBP, FIBP-1	fibroblast growth factor (acidic) intracellular binding protein	1	
IL1RL1	DER4, FIT-1, IL33R, ST2, ST2L, ST2V, T1	interleukin 1 receptor-like 1	6	
SLC16A7	MCT2	solute carrier family 16 (monocarboxylate transporter), member 7	1	
AURKB	AIK2, AIM-1, AIM1, ARK2, AurB, IPL1, PPP1R48, STK12, STK5, aurkb-sv1, aurkb-sv2	aurora kinase B	1	
FCMR	FAIM3, TOSO	Fc fragment of IgM receptor	1	
VAPA	VAP-33, VAP-A, VAP33, hVAP-33	VAMP (vesicle-associated membrane protein)-associated protein A, 33kDa	1	
